Time; HostId; Trust score
10.0439; 10005; 0.5
10.0439; 10003; 0.5
10.0439; 10007; 0.5
10.0442; 10005; 0.5
10.0442; 10003; 0.5
10.0442; 10007; 0.5
10.0444; 10005; 0.221429
10.0444; 10003; 0.221429
10.0444; 10007; 0.221429
10.947; 10002; 0.5
10.947; 10003; 0.388571
10.947; 10001; 0.5
10.9471; 10002; 0.5
10.9471; 10003; 0.455429
10.9471; 10001; 0.5
16.097; 10004; 0.5
16.097; 10002; 0.5
16.097; 10003; 0.482171
17.4327; 10008; 0.5
17.4327; 10007; 0.388571
17.4327; 10006; 0.5
17.4328; 10008; 0.4
17.4328; 10007; 0.355429
17.4328; 10006; 0.4
20.0969; 10004; 0.5
20.0969; 10002; 0.5
20.0969; 10003; 0.492869
20.0969; 10004; 0.212766
20.0969; 10002; 0.212766
20.0969; 10003; 0.209913
20.4326; 10008; 0.46
20.4326; 10007; 0.442171
20.4326; 10006; 0.46
20.5522; 10003; 0.383965
20.5522; 10002; 0.385106
20.5522; 10001; 0.5
27.0083; 10008; 0.484
27.0083; 10006; 0.484
27.0083; 10007; 0.476869
27.0084; 10008; 0.260267
27.0084; 10006; 0.260267
27.0084; 10007; 0.257414
30.0078; 10008; 0.404107
30.0078; 10006; 0.404107
30.0078; 10007; 0.402966
30.5623; 10003; 0.453586
30.5623; 10001; 0.5
30.5623; 10002; 0.454043
30.5623; 10003; 0.481434
30.5623; 10001; 0.5
30.5623; 10002; 0.481617
30.5624; 10003; 0.2031
30.5624; 10001; 0.210526
30.5624; 10002; 0.203173
31.0969; 10004; 0.385106
31.0969; 10002; 0.381269
31.0969; 10003; 0.38124
37.0086; 10008; 0.461643
37.0086; 10006; 0.461643
37.0086; 10007; 0.461186
37.0088; 10008; 0.216236
37.0088; 10006; 0.216236
37.0088; 10007; 0.216053
40.0079; 10008; 0.386494
40.0079; 10006; 0.386494
40.0079; 10007; 0.386421
40.1782; 10001; 0.384211
40.1782; 10003; 0.452496
40.1782; 10002; 0.452508
40.1783; 10001; 0.453684
40.1783; 10003; 0.480998
40.1783; 10002; 0.481003
40.1784; 10001; 0.189924
40.1784; 10003; 0.20085
40.1784; 10002; 0.200852
46.0968; 10004; 0.454043
46.0968; 10002; 0.380341
46.0968; 10003; 0.38034
49.3325; 10006; 0.454598
49.3325; 10008; 0.454598
49.3325; 10007; 0.454569
49.3326; 10006; 0.204061
49.3326; 10008; 0.204061
49.3326; 10007; 0.20405
